,pair,slow,fast,ema,result,signal
0,USD_HKD,26,12,50,-257.0,9
1,USD_HKD,26,12,100,-305.0,9
2,USD_HKD,26,12,50,-206.0,12
3,USD_HKD,26,12,100,-235.0,12
4,USD_HKD,26,18,50,-235.5,9
5,USD_HKD,26,18,100,-270.0,9
6,USD_HKD,26,18,50,-189.0,12
7,USD_HKD,26,18,100,-212.0,12
8,USD_HKD,52,12,50,-249.0,9
9,USD_HKD,52,12,100,-287.0,9
10,USD_HKD,52,12,50,-207.5,12
11,USD_HKD,52,12,100,-236.0,12
12,USD_HKD,52,18,50,-214.5,9
13,USD_HKD,52,18,100,-223.0,9
14,USD_HKD,52,18,50,-171.5,12
15,USD_HKD,52,18,100,-187.0,12
